Using cuda device
Wrapping the env in a DummyVecEnv.
Total Reward: -0.294 | Lat Penalty: -0.375 | Steer Penalty: -0.001 | Action: -1.00
Total Reward: -0.293 | Lat Penalty: -0.374 | Steer Penalty: -0.001 | Action: -0.79
Total Reward: -0.294 | Lat Penalty: -0.375 | Steer Penalty: -0.001 | Action: -1.00
Total Reward: -0.295 | Lat Penalty: -0.375 | Steer Penalty: -0.000 | Action: 0.38
Total Reward: -0.294 | Lat Penalty: -0.374 | Steer Penalty: -0.001 | Action: 1.00
Total Reward: -0.293 | Lat Penalty: -0.373 | Steer Penalty: -0.001 | Action: -0.59
Total Reward: -0.293 | Lat Penalty: -0.373 | Steer Penalty: -0.001 | Action: 0.14
Total Reward: -0.291 | Lat Penalty: -0.371 | Steer Penalty: -0.001 | Action: 0.66
Total Reward: -0.290 | Lat Penalty: -0.369 | Steer Penalty: -0.002 | Action: 0.08
Total Reward: -0.289 | Lat Penalty: -0.368 | Steer Penalty: -0.002 | Action: 1.00
Total Reward: -0.288 | Lat Penalty: -0.368 | Steer Penalty: -0.002 | Action: -1.00
Total Reward: -0.288 | Lat Penalty: -0.368 | Steer Penalty: -0.002 | Action: 1.00
Total Reward: -0.287 | Lat Penalty: -0.367 | Steer Penalty: -0.002 | Action: -0.36
Total Reward: -0.287 | Lat Penalty: -0.367 | Steer Penalty: -0.002 | Action: 1.00
Total Reward: -0.286 | Lat Penalty: -0.367 | Steer Penalty: -0.002 | Action: -0.55
Total Reward: -0.288 | Lat Penalty: -0.368 | Steer Penalty: -0.001 | Action: -0.81
Total Reward: -0.288 | Lat Penalty: -0.369 | Steer Penalty: -0.001 | Action: 1.00
Total Reward: -0.289 | Lat Penalty: -0.370 | Steer Penalty: -0.001 | Action: -0.78
Total Reward: -0.291 | Lat Penalty: -0.373 | Steer Penalty: -0.000 | Action: -1.00
Total Reward: -0.296 | Lat Penalty: -0.376 | Steer Penalty: -0.001 | Action: -1.00
Total Reward: -0.299 | Lat Penalty: -0.380 | Steer Penalty: -0.001 | Action: 0.14
Total Reward: -0.302 | Lat Penalty: -0.382 | Steer Penalty: -0.002 | Action: -1.00
